PDB	Min_EValue
1abr_B	1.8e-26
1c3m_A	0.13
1dex_A	1.1e-11
1dqg_A	7.5e-10
1es9_A	3.7e-09
1esc_A	4.9e-12
1ese_A	4.9e-12
1fwu_A	1.2e-09
1ggp_B	2.1e-25
1j4u_D	0.035
1k7c_A	1.1e-11
1knl_A	4.1e-09
1ku8_C	0.42
1m2t_B	4.3e-23
1osy_A	0.23
1ouw_B	0.28
1sr4_A	5.5e-09
1sr4_C	0.0037
1sz6_B	7.2e-25
1ups_A	5.5e-07
1v6x_B	7.6e-09
1vjg_A	5e-11
1vyh_E	2.6e-09
1w3g_A	1.0
1xhb_A	1.3e-09
1xxq_B	0.13
1ybi_B	3.1e-23
1yzf_A	7.5e-11
1z8h_A	5e-11
1zgs_B	0.014
1zmb_E	0.41
2a02_A	1.9e-08
2aai_B	4.3e-25
2apj_A	0.99
2bmy_A	0.045
2d42_B	0.18
2d7i_A	1.5e-10
2d7r_A	1.5e-10
2dry_A	1.9e-10
2e4m_C	6.7e-09
2ffu_A	2.5e-10
2gr8_B	2.8e-20
2gud_B	0.45
2hqs_F	0.16
2hsj_C	1.6e-09
2iho_A	8.2e-15
2iqi_B	0.27
2j42_A	2.6e-125
2jz4_A	0.02
2liq_A	1.3e-09
2ly3_1	4.9e-06
2mhj_A	1.1e-09
2mii_A	6.4e-13
2o14_A	4.5e-10
2q0s_H	4.3e-13
2r19_B	4.1e-07
2vh2_B	0.49
2vlc_B	8.8e-26
2vpt_A	2.3e-10
2vse_A	6.3e-21
2w9x_A	1.6e-07
2waa_A	7.3e-09
2wab_A	2.1e-09
2wao_A	4.8e-09
2x2s_B	1.8e-09
2x8x_X	5.2e-24
2xqh_A	1.4e-07
2xzr_A	4.6e-07
2y3m_B	6.3e-07
2y9f_A	2.8e-13
2y9k_N	4.4e-05
2ygt_A	1.8e-80
2yny_A	0.044
2yo0_A	0.16
2yo3_B	5.6e-08
2ztb_B	0.14
3a07_A	1.7e-08
3a21_B	1.6e-12
3a23_A	1.6e-12
3ah1_B	4.9e-20
3aj6_A	1.7e-20
3apa_A	0.11
3aqg_B	0.0053
3bzw_A	5.5e-12
3c9z_A	5.4e-25
3ca1_A	5.4e-25
3dc7_A	3e-12
3dci_A	2.7e-12
3f3h_A	0.26
3fcg_A	8.3e-23
3g3l_A	0.017
3gr5_A	3.1e-05
3h6r_B	0.0021
3h6s_F	0.00063
3h7z_A	6e-07
3hp4_A	1.7e-11
3jc8_Qd	6.8e-48
3kcw_A	0.49
3lt7_A	8.5e-08
3ly7_A	0.0001
3ly8_A	0.00014
3m4d_D	2.2e-88
3mc8_A	1.4e-22
3mc9_B	1.4e-22
3mil_A	1.2e-10
3my2_A	3.5e-05
3n0k_A	3.3e-06
3nbc_A	8.6e-09
3nbd_B	8.6e-09
3oss_D	2.4e-05
3p8s_B	0.3
3p94_A	1.4e-09
3pg0_A	4.5e-09
3phz_B	2.9e-18
3q6b_A	1e-19
3r50_B	0.45
3rjt_B	2.7e-11
3roh_A	5e-81
3rtj_B	4.3e-25
3skv_A	2.1e-10
3u37_H	5.1e-08
3vsf_C	1.9e-09
3vt2_C	1.9e-09
3vwc_A	2.7e-05
3vy7_A	0.11
3w1e_A	3.8e-10
3wa1_A	1e-12
3wmu_B	0.025
3wmv_A	0.025
3wob_A	0.017
3woc_E	0.0064
3wp8_A	0.11
3wpa_A	0.11
3wpr_A	0.044
3wqa_B	0.19
3x0u_A	0.078
3zmf_A	0.56
4akd_A	0.1
4ar0_A	0.24
4av2_J	2e-45
4c1b_A	1.4e-09
4ddn_C	0.45
4dev_E	1.6e-07
4e9j_A	3.1e-06
4fbr_A	2.6e-23
4g08_A	2.1e-07
4g1r_A	1e-09
4g9m_A	9.2e-09
4gu8_B	1.3e-20
4h08_A	4e-09
4hr6_C	1.9e-25
4hrv_A	4.3e-12
4hyq_A	1.5e-11
4i4o_B	3.5e-15
4i4x_B	2.6e-15
4i8i_A	2e-09
4ion_B	1.3e-09
4iya_A	7.1e-84
4iyj_B	4.9e-09
4izx_A	1.3e-09
